cap	sendrs	recvrs	nbq	abq	lbq	clq
16	2	2	1634	9906	10142	1510
272	2	2	1321	4115	2968	1445
528	2	2	1267	4117	2919	1517
784	2	2	1574	4258	2876	1459
16	2	10	4226	16431	9114	3390
272	2	10	4172	11191	3302	3181
528	2	10	3944	11313	3249	3588
784	2	10	4062	11137	3160	3191
16	2	18	7022	29373	9558	5140
272	2	18	8051	18093	3059	5202
528	2	18	7041	19289	3106	5288
784	2	18	7319	18468	2991	5287
16	2	26	8387	41524	10231	6814
272	2	26	8809	24444	3315	7210
528	2	26	9568	24962	3039	6943
784	2	26	9820	25116	3478	7075
16	2	34	13689	47675	11308	9018
272	2	34	11701	30885	3549	9719
528	2	34	13255	29821	3561	8938
784	2	34	13740	31659	3560	9719
16	2	42	13584	50208	12029	10844
272	2	42	14604	34260	3626	11660
528	2	42	15057	34499	3958	12005
784	2	42	14145	35973	3545	10781
16	2	50	19323	51796	13236	11472
272	2	50	16599	37362	3665	12446
<snip>
